Start_Name,Start_Lat,Start_Lon,End_Name,End_Lat,End_Lon,Distance_km,Duration_min
Stasiun Gubeng,-7.257472,112.752088,Tunjungan Plaza,-7.266735,112.736115,4.5955,6.468333333333334
Stasiun Gubeng,-7.257472,112.752088,Kebun Binatang Surabaya,-7.290215,112.735337,5.7728,6.386666666666667
Stasiun Gubeng,-7.257472,112.752088,Surabaya Town Square,-7.290116,112.734558,5.8816999999999995,6.803333333333333
Stasiun Gubeng,-7.257472,112.752088,Grand City Mall,-7.261414,112.751639,0.8897,1.5133333333333332
Stasiun Gubeng,-7.257472,112.752088,Terminal Bungurasih,-7.345473,112.742177,14.038200000000002,15.553333333333336
Stasiun Gubeng,-7.257472,112.752088,Pelabuhan Tanjung Perak,-7.203854,112.723741,9.5308,12.163333333333332
Stasiun Gubeng,-7.257472,112.752088,Galaxy Mall,-7.273925,112.779602,5.3599,7.91
Stasiun Gubeng,-7.257472,112.752088,Pakuwon Mall,-7.291418,112.677844,12.7354,14.625
Stasiun Gubeng,-7.257472,112.752088,Stadion Gelora Bung Tomo,-7.268027,112.63066,17.3751,20.578333333333333
Tunjungan Plaza,-7.266735,112.736115,Stasiun Gubeng,-7.257472,112.752088,4.0029,6.34
Tunjungan Plaza,-7.266735,112.736115,Kebun Binatang Surabaya,-7.290215,112.735337,4.045,4.193333333333333
Tunjungan Plaza,-7.266735,112.736115,Surabaya Town Square,-7.290116,112.734558,4.153899999999999,4.61
Tunjungan Plaza,-7.266735,112.736115,Grand City Mall,-7.261414,112.751639,4.179,5.61
Tunjungan Plaza,-7.266735,112.736115,Terminal Bungurasih,-7.345473,112.742177,12.9666,13.581666666666669
Tunjungan Plaza,-7.266735,112.736115,Pelabuhan Tanjung Perak,-7.203854,112.723741,8.9269,12.97
Tunjungan Plaza,-7.266735,112.736115,Galaxy Mall,-7.273925,112.779602,7.056100000000001,9.395
Tunjungan Plaza,-7.266735,112.736115,Pakuwon Mall,-7.291418,112.677844,9.3578,12.411666666666669
Tunjungan Plaza,-7.266735,112.736115,Stadion Gelora Bung Tomo,-7.268027,112.63066,14.2434,18.051666666666662
Kebun Binatang Surabaya,-7.290215,112.735337,Stasiun Gubeng,-7.257472,112.752088,5.5034,6.111666666666666
